,player_id,player
253,achiupr01,Precious Achiuwa
254,youngth01,Thaddeus Young
255,watanyu01,Yuta Watanabe
256,mykhasv01,Svi Mykhailiuk
257,quickim01,Immanuel Quickley
258,toppiob01,Obi Toppin
259,burksal01,Alec Burks
260,simsje01,Jericho Sims
261,fournev01,Evan Fournier
262,arcidry01,Ryan Arcidiacono
263,gibsota01,Taj Gibson
264,huntfe01,Feron Hunt
265,robinmi01,Mitchell Robinson
266,barrerj01,RJ Barrett
267,mcbrimi01,Miles McBride
268,grimequ01,Quentin Grimes
269,muldemy01,Mychal Mulder
270,highsha01,Haywood Highsmith
271,oladivi01,Victor Oladipo
272,yurtsom01,Omer Yurtseven
273,robindu01,Duncan Robinson
274,smartja01,Javonte Smart
275,hasleud01,Udonis Haslem
276,vincega01,Gabe Vincent
277,martica02,Caleb Martin
278,strusma01,Max Strus
279,morrima02,Markieff Morris
280,hamptrj01,R.J. Hampton
281,wagnemo01,Moritz Wagner
282,fultzma01,Markelle Fultz
283,okekech01,Chuma Okeke
284,bambamo01,Mo Bamba
285,cannade01,Devin Cannady
286,brazdig01,Ignas Brazdeikis
287,schofad01,Admiral Schofield
288,lopezro01,Robin Lopez
289,harriga01,Gary Harris
290,rosste01,Terrence Ross
291,liveris01,Isaiah Livers
292,jacksfr01,Frank Jackson
293,stewais01,Isaiah Stewart
294,beysa01,Saddiq Bey
295,hayeski01,Killian Hayes
296,leesa01,Saben Lee
297,garzalu01,Luka Garza
298,edwarca01,Carsen Edwards
299,mcgruro01,Rodney McGruder
300,pickeja01,Jamorko Pickett
301,keybr01,Braxton Key
302,olynyke01,Kelly Olynyk
303,thybuma01,Matisse Thybulle
304,harrito02,Tobias Harris
305,maxeyty01,Tyrese Maxey
306,jordade01,DeAndre Jordan
307,greenda02,Danny Green
308,miltosh01,Shake Milton
309,korkmfu01,Furkan Korkmaz
310,joeis01,Isaiah Joe
311,reedpa01,Paul Reed
312,bassech01,Charles Bassey
313,embiijo01,Joel Embiid
314,mitchda01,Davion Mitchell
315,holidju01,Justin Holiday
316,jonesda03,Damian Jones
317,lylestr01,Trey Lyles
318,barneha02,Harrison Barnes
319,metuch01,Chimezie Metu
320,divindo01,Donte DiVincenzo
321,quetane01,Neemias Queta
322,jacksjo02,Josh Jackson
323,lambje01,Jeremy Lamb
324,harklma01,Maurice Harkless
325,holidaa01,Aaron Holiday
326,shamela01,Landry Shamet
327,johnsca02,Cameron Johnson
328,mcgeeja01,JaVale McGee
329,bridgmi01,Mikal Bridges
330,wainris01,Ish Wainright
331,lundbga01,Gabriel Lundberg
332,craigto01,Torrey Craig
333,biyombi01,Bismack Biyombo
334,paytoel01,Elfrid Payton
335,bookede01,Devin Booker
336,payneca01,Cameron Payne
337,aytonde01,Deandre Ayton
338,paulch01,Chris Paul
339,crowdja01,Jae Crowder
340,hernaju01,Juancho Hernangomez
341,goberru01,Rudy Gobert
342,onealro01,Royce O'Neale
343,houseda01,Danuel House Jr.
344,conlemi01,Mike Conley
345,clarkjo01,Jordan Clarkson
346,butleja02,Jared Butler
347,gayru01,Rudy Gay
348,whiteha01,Hassan Whiteside
349,pascher01,Eric Paschall
350,alexani01,Nickeil Alexander-Walker
351,sneedxa01,Xavier Sneed
352,johnske07,Keon Johnson
353,perryre01,Reggie Perry
354,willibr03,Brandon Williams
355,ellebcj01,CJ Elleby
356,louzama01,Didi Louzada
357,mclembe01,Ben McLemore
358,browngr01,Greg Brown III
359,blevike01,Keljin Blevins
360,hugheel01,Elijah Hughes
361,eubandr01,Drew Eubanks
362,winslju01,Justise Winslow
363,hartjo01,Josh Hart
364,georgpa01,Paul George
365,morrima03,Marcus Morris
366,jacksre01,Reggie Jackson
